label,name,url,r,collab_in,components,n_seg,r_bin,norm
,"The Cast of RuPaul's Drag Race UK, Season 2","https://www.last.fm/music/The+Cast+of+RuPaul%27s+Drag+Race+UK,+Season+2",0.675,270,the cast of rupaul's drag race uk (in=400); season 2 (in=5),2,"[0.67,0.80)","the cast of rupaul's drag race uk, season 2"
,cYsmix feat. えみぃ,https://www.last.fm/music/cYsmix+feat.+%E3%81%88%E3%81%BF%E3%81%83,0.679,1371,cysmix (in=872); emii (in=2019),2,"[0.67,0.80)",cysmix feat. emii
,"MC Jams, Psycho Girl","https://www.last.fm/music/MC+Jams,+Psycho+Girl",0.679,36,mc jams (in=53); psycho girl (in=22),2,"[0.67,0.80)","mc jams, psycho girl"
,"Niink, Supernova Ent, Stick, Nagalli, Galdino","https://www.last.fm/music/Niink,+Supernova+Ent,+Stick,+Nagalli,+Galdino",0.681,716,niink (in=206); supernova ent (in=183); stick (in=1052); nagalli (in=520); galdino (in=205),5,"[0.67,0.80)","niink, supernova ent, stick, nagalli, galdino"
,Die & Clipz feat Ben Westbeech,https://www.last.fm/music/Die+&+Clipz+feat+Ben+Westbeech,0.684,403,die (in=385); clipz (in=589); ben westbeech (in=309),3,"[0.67,0.80)",die & clipz feat ben westbeech
,"Dave Dee, Dozy, Beaky, Mick & Tich","https://www.last.fm/music/Dave+Dee,+Dozy,+Beaky,+Mick+&+Tich",0.688,474,dave dee (in=120); dozy (in=422); beaky (in=9); mick (in=689); tich (in=626),5,"[0.67,0.80)","dave dee, dozy, beaky, mick & tich"
,Mike Candys feat. Sandra Wild,https://www.last.fm/music/Mike+Candys+feat.+Sandra+Wild,0.692,1613,mike candys (in=2332); sandra wild (in=93),2,"[0.67,0.80)",mike candys feat. sandra wild
,"Blagoje Bersa, Goran Filipec","https://www.last.fm/music/Blagoje+Bersa,+Goran+Filipec",0.693,472,blagoje bersa (in=681); goran filipec (in=451),2,"[0.67,0.80)","blagoje bersa, goran filipec"
,Udo Schindler & Jaap Blonk,https://www.last.fm/music/Udo+Schindler+&+Jaap+Blonk,0.696,206,udo schindler (in=296); jaap blonk (in=128),2,"[0.67,0.80)",udo schindler & jaap blonk
,Major Lazer AND DJ Snake feat Mø,https://www.last.fm/music/Major+Lazer+AND+DJ+Snake+feat+M%C3%B8,0.697,841,major lazer and dj snake (in=260); mo (in=1207),2,"[0.67,0.80)",major lazer and dj snake feat mo
,Ragnhild Hemsing & Tor Espen Aspaas,https://www.last.fm/music/Ragnhild+Hemsing+&+Tor+Espen+Aspaas,0.704,324,ragnhild hemsing (in=460); tor espen aspaas (in=73),2,"[0.67,0.80)",ragnhild hemsing & tor espen aspaas
,John Doe / 1200 Hobos,https://www.last.fm/music/John+Doe+%2F+1200+Hobos,0.705,184,john doe (in=261); 1200 hobos (in=34),2,"[0.67,0.80)",john doe / 1200 hobos
,Gian-Piero Reverberi/Robert Mellin,https://www.last.fm/music/Gian-Piero+Reverberi%2FRobert+Mellin,0.708,46,gian-piero reverberi (in=11); robert mellin (in=65),2,"[0.67,0.80)",gian-piero reverberi/robert mellin
,Jovana & Dunja,https://www.last.fm/music/Jovana+&+Dunja,0.713,266,jovana (in=373); dunja (in=217),2,"[0.67,0.80)",jovana & dunja
,Karma & Sez on the Beat,https://www.last.fm/music/Karma+&+Sez+on+the+Beat,0.718,921,karma (in=1152); sez on the beat (in=1282),2,"[0.67,0.80)",karma & sez on the beat
,"DJ MH, DJ ZRED DA DZ7","https://www.last.fm/music/DJ+MH,+DJ+ZRED+DA+DZ7",0.720,659,dj mh (in=871); dj zred da dz7 (in=915),2,"[0.67,0.80)","dj mh, dj zred da dz7"
,765PRO & 765THEATER,https://www.last.fm/music/765PRO+&+765THEATER,0.727,8,765pro (in=11); 765theater (in=8),2,"[0.67,0.80)",765pro & 765theater
