label,name,url,r,collab_in,components,n_seg,r_bin,norm
,French Montana & Coi Leray,https://www.last.fm/music/French+Montana+&+Coi+Leray,0.220,472,french montana (in=2141); coi leray (in=1264),2,"[0.20,0.25)",french montana & coi leray
,"Justine Skye, KAYTRANADA","https://www.last.fm/music/Justine+Skye,+KAYTRANADA",0.222,347,justine skye (in=1292); kaytranada (in=1566),2,"[0.20,0.25)","justine skye, kaytranada"
,"Powfu, Ollie","https://www.last.fm/music/Powfu,+Ollie",0.222,330,powfu (in=1488); ollie (in=1230),2,"[0.20,0.25)","powfu, ollie"
,Josh Cumbee & Jordan Powers,https://www.last.fm/music/Josh+Cumbee+&+Jordan+Powers,0.226,30,josh cumbee (in=133); jordan powers (in=69),2,"[0.20,0.25)",josh cumbee & jordan powers
,JAEGER & Meric,https://www.last.fm/music/JAEGER+&+Meric,0.235,112,jaeger (in=476); meric (in=1),2,"[0.20,0.25)",jaeger & meric
,Cool Project & BBK,https://www.last.fm/music/Cool+Project+&+BBK,0.237,182,cool project (in=767); bbk (in=106),2,"[0.20,0.25)",cool project & bbk
,blueberry_ & miraa.,https://www.last.fm/music/blueberry_+&+miraa.,0.237,289,blueberry_ (in=374); miraa. (in=1217),2,"[0.20,0.25)",blueberry_ & miraa.
,"20mop, snakechildpain","https://www.last.fm/music/20mop,+snakechildpain",0.238,243,20mop (in=1022); snakechildpain (in=526),2,"[0.20,0.25)","20mop, snakechildpain"
,Adam Stone / Dead Sea Apes / Black Tempest,https://www.last.fm/music/Adam+Stone+%2F+Dead+Sea+Apes+%2F+Black+Tempest,0.238,121,adam stone (in=406); dead sea apes (in=508); black tempest (in=207),3,"[0.20,0.25)",adam stone / dead sea apes / black tempest
,"Paul Simon, General M.D.Shirinda & The Gaza Sisters","https://www.last.fm/music/Paul+Simon,+General+M.D.Shirinda+&+The+Gaza+Sisters",0.239,356,paul simon (in=1488); general m.d.shirinda (in=14); the gaza sisters (in=2),3,"[0.20,0.25)","paul simon, general m.d.shirinda & the gaza sisters"
,"Холи Полли, неаринаменя","https://www.last.fm/music/%D0%A5%D0%BE%D0%BB%D0%B8+%D0%9F%D0%BE%D0%BB%D0%BB%D0%B8,+%D0%BD%D0%B5%D0%B0%D1%80%D0%B8%D0%BD%D0%B0%D0%BC%D0%B5%D0%BD%D1%8F",0.239,102,kholi polli (in=426); nearinamenia (in=174),2,"[0.20,0.25)","kholi polli, nearinamenia"
,Last Heroes & Nevve,https://www.last.fm/music/Last+Heroes+&+Nevve,0.243,166,last heroes (in=683); nevve (in=405),2,"[0.20,0.25)",last heroes & nevve
,"CHRIS RAIN, Promoting Sounds","https://www.last.fm/music/CHRIS+RAIN,+Promoting+Sounds",0.246,82,chris rain (in=333); promoting sounds (in=254),2,"[0.20,0.25)","chris rain, promoting sounds"
,"Claude Debussy, Markus Klinko","https://www.last.fm/music/Claude+Debussy,+Markus+Klinko",0.247,208,claude debussy (in=843); markus klinko (in=124),2,"[0.20,0.25)","claude debussy, markus klinko"
,Middleton & Pritchard,https://www.last.fm/music/Middleton+&+Pritchard,0.250,2,middleton (in=7); pritchard (in=8),2,"[0.25,0.33)",middleton & pritchard
,We Are Messengers & Josh Baldwin,https://www.last.fm/music/We+Are+Messengers+&+Josh+Baldwin,0.253,231,we are messengers (in=912); josh baldwin (in=704),2,"[0.25,0.33)",we are messengers & josh baldwin
,"Outlaw, L'Insoumise, Keny Arkana","https://www.last.fm/music/Outlaw,+L%27Insoumise,+Keny+Arkana",0.253,227,outlaw (in=187); l'insoumise (in=173); keny arkana (in=896),3,"[0.25,0.33)","outlaw, l'insoumise, keny arkana"
,"Jowell & Randy, J Balvin","https://www.last.fm/music/Jowell+&+Randy,+J+Balvin",0.255,465,jowell (in=764); randy (in=590); j balvin (in=1823),3,"[0.25,0.33)","jowell & randy, j balvin"
,Rigby ft. Layne,https://www.last.fm/music/Rigby+ft.+Layne,0.257,233,rigby (in=321); layne (in=908),2,"[0.25,0.33)",rigby ft. layne
,"Anitta, Lexa, Luísa Sonza","https://www.last.fm/music/Anitta,+Lexa,+Lu%C3%ADsa+Sonza",0.258,613,anitta (in=2379); lexa (in=1538); luisa sonza (in=1631),3,"[0.25,0.33)","anitta, lexa, luisa sonza"
,"MC CAROL 011, MC M7, Noguera DJ","https://www.last.fm/music/MC+CAROL+011,+MC+M7,+Noguera+DJ",0.262,271,mc carol 011 (in=1036); mc m7 (in=561); noguera dj (in=863),3,"[0.25,0.33)","mc carol 011, mc m7, noguera dj"
,"AKRIILA, Aqua VS","https://www.last.fm/music/AKRIILA,+Aqua+VS",0.270,669,akriila (in=2480); aqua vs (in=1747),2,"[0.25,0.33)","akriila, aqua vs"
,Disclosure & Blick Bassy,https://www.last.fm/music/Disclosure+&+Blick+Bassy,0.271,473,disclosure (in=1747); blick bassy (in=412),2,"[0.25,0.33)",disclosure & blick bassy
,"Viva Suecia, Leiva","https://www.last.fm/music/Viva+Suecia,+Leiva",0.272,309,viva suecia (in=894); leiva (in=1136),2,"[0.25,0.33)","viva suecia, leiva"
,"MC VDC, DJ VDC, DJ Kevyn Do RC","https://www.last.fm/music/MC+VDC,+DJ+VDC,+DJ+Kevyn+Do+RC",0.278,32,mc vdc (in=115); dj vdc (in=11); dj kevyn do rc (in=75),3,"[0.25,0.33)","mc vdc, dj vdc, dj kevyn do rc"
,Colbert Hamilton & the Nitros,https://www.last.fm/music/Colbert+Hamilton+&+the+Nitros,0.280,242,colbert hamilton (in=167); the nitros (in=864),2,"[0.25,0.33)",colbert hamilton & the nitros
,The Humble Brothers Feat. Jonathan Davis,https://www.last.fm/music/The+Humble+Brothers+Feat.+Jonathan+Davis,0.281,234,the humble brothers (in=165); jonathan davis (in=833),2,"[0.25,0.33)",the humble brothers feat. jonathan davis
,But & Memo,https://www.last.fm/music/But+&+Memo,0.283,265,but (in=24); memo (in=937),2,"[0.25,0.33)",but & memo
,紗希&Rie fu,https://www.last.fm/music/%E7%B4%97%E5%B8%8C&Rie+fu,0.283,235,sha xi (in=217); rie fu (in=829),2,"[0.25,0.33)",sha xi &rie fu
,"Puppet, Pierce Fulton","https://www.last.fm/music/Puppet,+Pierce+Fulton",0.284,175,puppet (in=616); pierce fulton (in=468),2,"[0.25,0.33)","puppet, pierce fulton"
,"mishix), 1NZZiDENT, NEKKIBOI","https://www.last.fm/music/mishix),+1NZZiDENT,+NEKKIBOI",0.286,106,mishix) (in=323); 1nzzident (in=371); nekkiboi (in=2),3,"[0.25,0.33)","mishix), 1nzzident, nekkiboi"
,"Armin van Buuren, Ferry Corsten, Rank 1, Ruben de Ronde","https://www.last.fm/music/Armin+van+Buuren,+Ferry+Corsten,+Rank+1,+Ruben+de+Ronde",0.292,931,armin van buuren (in=2999); ferry corsten (in=3187); rank 1 (in=1830); ruben de ronde (in=628),4,"[0.25,0.33)","armin van buuren, ferry corsten, rank 1, ruben de ronde"
,Lady Luminis & Meren Music,https://www.last.fm/music/Lady+Luminis+&+Meren+Music,0.294,5,lady luminis (in=17); meren music (in=11),2,"[0.25,0.33)",lady luminis & meren music
,Mark Andre Kilian & Chris Walden,https://www.last.fm/music/Mark+Andre+Kilian+&+Chris+Walden,0.296,77,mark andre kilian (in=61); chris walden (in=260),2,"[0.25,0.33)",mark andre kilian & chris walden
,Kate & Lauri,https://www.last.fm/music/Kate+&+Lauri,0.298,98,kate (in=329); lauri (in=131),2,"[0.25,0.33)",kate & lauri
,"ALLP, your home","https://www.last.fm/music/ALLP,+your+home",0.303,132,allp (in=436); your home (in=273),2,"[0.25,0.33)","allp, your home"
,Gorillaz feat. Octavian,https://www.last.fm/music/Gorillaz+feat.+Octavian,0.304,368,gorillaz (in=1209); octavian (in=678),2,"[0.25,0.33)",gorillaz feat. octavian
,"Zubin Mehta, Los Angeles Philharmonic Orchestra","https://www.last.fm/music/Zubin+Mehta,+Los+Angeles+Philharmonic+Orchestra",0.308,156,zubin mehta (in=507); los angeles philharmonic orchestra (in=308),2,"[0.25,0.33)","zubin mehta, los angeles philharmonic orchestra"
,"Claude Debussy, Daniel Barenboim","https://www.last.fm/music/Claude+Debussy,+Daniel+Barenboim",0.310,750,claude debussy (in=843); daniel barenboim (in=2418),2,"[0.25,0.33)","claude debussy, daniel barenboim"
,The Crystal Method feat. Stefanie King Warfield,https://www.last.fm/music/The+Crystal+Method+feat.+Stefanie+King+Warfield,0.316,273,the crystal method (in=864); stefanie king warfield (in=1),2,"[0.25,0.33)",the crystal method feat. stefanie king warfield
,Memphis Cult & KYD_EDITS,https://www.last.fm/music/Memphis+Cult+&+KYD_EDITS,0.318,221,memphis cult (in=694); kyd_edits (in=18),2,"[0.25,0.33)",memphis cult & kyd_edits
,"Panda, Ícaro e Gilmar, Fred & Fabrício","https://www.last.fm/music/Panda,+%C3%8Dcaro+e+Gilmar,+Fred+&+Fabr%C3%ADcio",0.324,556,panda (in=1714); icaro e gilmar (in=711); fred (in=467); fabricio (in=120),4,"[0.25,0.33)","panda, icaro e gilmar, fred & fabricio"
,RATS & STAR,https://www.last.fm/music/RATS+&+STAR,0.326,396,rats (in=1215); star (in=499),2,"[0.25,0.33)",rats & star
,ESH & ARC,https://www.last.fm/music/ESH+&+ARC,0.328,350,esh (in=1067); arc (in=435),2,"[0.25,0.33)",esh & arc
,"Mike Piccirillo, Samuel Vincent","https://www.last.fm/music/Mike+Piccirillo,+Samuel+Vincent",0.333,3,mike piccirillo (in=1); samuel vincent (in=9),2,"[0.33,0.40)","mike piccirillo, samuel vincent"
,Dj Antoine / Timati / Kalenna,https://www.last.fm/music/Dj+Antoine+%2F+Timati+%2F+Kalenna,0.334,573,dj antoine (in=1718); timati (in=1301); kalenna (in=1298),3,"[0.33,0.40)",dj antoine / timati / kalenna
,"De La Soul, Jungle Brothers, Q-tip","https://www.last.fm/music/De+La+Soul,+Jungle+Brothers,+Q-tip",0.336,476,de la soul (in=1237); jungle brothers (in=876); q-tip (in=1417),3,"[0.33,0.40)","de la soul, jungle brothers, q-tip"
,Cairokee & Uber,https://www.last.fm/music/Cairokee+&+Uber,0.337,511,cairokee (in=1518); uber (in=1151),2,"[0.33,0.40)",cairokee & uber
,Tomas Fujiwara & The Hook Up,https://www.last.fm/music/Tomas+Fujiwara+&+The+Hook+Up,0.337,237,tomas fujiwara (in=704); the hook up (in=147),2,"[0.33,0.40)",tomas fujiwara & the hook up
,Nicole & Hugo,https://www.last.fm/music/Nicole+&+Hugo,0.337,244,nicole (in=603); hugo (in=723),2,"[0.33,0.40)",nicole & hugo
,Cookie monsta & funtcase,https://www.last.fm/music/Cookie+monsta+&+funtcase,0.338,123,cookie monsta (in=322); funtcase (in=364),2,"[0.33,0.40)",cookie monsta & funtcase
,Playboi Carti feat. Young Thug,https://www.last.fm/music/Playboi+Carti+feat.+Young+Thug,0.340,726,playboi carti (in=2137); young thug (in=1926),2,"[0.33,0.40)",playboi carti feat. young thug
,Draper feat. Laura Brehm,https://www.last.fm/music/Draper+feat.+Laura+Brehm,0.352,323,draper (in=918); laura brehm (in=426),2,"[0.33,0.40)",draper feat. laura brehm
,"Kel, Mro Mc & Kairuu","https://www.last.fm/music/Kel,+Mro+Mc+&+Kairuu",0.354,129,kel (in=329); mro mc (in=318); kairuu (in=364),3,"[0.33,0.40)","kel, mro mc & kairuu"
,Alina Baraz & Galimatias,https://www.last.fm/music/Alina+Baraz+&+Galimatias,0.355,479,alina baraz (in=1351); galimatias (in=463),2,"[0.33,0.40)",alina baraz & galimatias
,Dropper Vampire & GrazySmash,https://www.last.fm/music/Dropper+Vampire+&+GrazySmash,0.356,332,dropper vampire (in=933); grazysmash (in=912),2,"[0.33,0.40)",dropper vampire & grazysmash
,Conway the Machine & Jae Skeese,https://www.last.fm/music/Conway+the+Machine+&+Jae+Skeese,0.357,1172,conway the machine (in=3285); jae skeese (in=815),2,"[0.33,0.40)",conway the machine & jae skeese
,"Viktor Vaughn, MF DOOM, M.Sayyid","https://www.last.fm/music/Viktor+Vaughn,+MF+DOOM,+M.Sayyid",0.357,416,viktor vaughn (in=937); mf doom (in=1166); m.sayyid (in=8),3,"[0.33,0.40)","viktor vaughn, mf doom, m.sayyid"
,Roman Flugel + Delano & Crockett,https://www.last.fm/music/Roman+Flugel+%252B+Delano+&+Crockett,0.359,607,roman flugel (in=1692); delano (in=1088); crockett (in=383),3,"[0.33,0.40)",roman flugel + delano & crockett
,H.1 & Hevi,https://www.last.fm/music/H.1+&+Hevi,0.359,445,h.1 (in=1123); hevi (in=1240),2,"[0.33,0.40)",h.1 & hevi
,"Haruka Terui, Suzuko Mimori, Tomoyo Kurosawa, Yumi Uchiyama","https://www.last.fm/music/Haruka+Terui,+Suzuko+Mimori,+Tomoyo+Kurosawa,+Yumi+Uchiyama",0.361,246,haruka terui (in=2); suzuko mimori (in=459); tomoyo kurosawa (in=682); yumi uchiyama (in=1),4,"[0.33,0.40)","haruka terui, suzuko mimori, tomoyo kurosawa, yumi uchiyama"
,The Choir of Trinity College Cambridge & Richard Marlow,https://www.last.fm/music/The+Choir+of+Trinity+College+Cambridge+&+Richard+Marlow,0.366,59,the choir of trinity college cambridge (in=50); richard marlow (in=161),2,"[0.33,0.40)",the choir of trinity college cambridge & richard marlow
,Terry Gilkyson & The Easy Riders,https://www.last.fm/music/Terry+Gilkyson+&+The+Easy+Riders,0.367,301,terry gilkyson (in=820); the easy riders (in=103),2,"[0.33,0.40)",terry gilkyson & the easy riders
,Baby Raw & MC Ike,https://www.last.fm/music/Baby+Raw+&+MC+Ike,0.370,102,baby raw (in=276); mc ike (in=3),2,"[0.33,0.40)",baby raw & mc ike
,"1 Trait Danger, Jimmy Fallon","https://www.last.fm/music/1+Trait+Danger,+Jimmy+Fallon",0.370,130,1 trait danger (in=351); jimmy fallon (in=298),2,"[0.33,0.40)","1 trait danger, jimmy fallon"
,"Ms. Lauryn Hill, D'Angelo","https://www.last.fm/music/Ms.+Lauryn+Hill,+D%27Angelo",0.372,347,ms. lauryn hill (in=880); d'angelo (in=933),2,"[0.33,0.40)","ms. lauryn hill, d'angelo"
,Никита & Alexey Romeo,https://www.last.fm/music/%D0%9D%D0%B8%D0%BA%D0%B8%D1%82%D0%B0+&+Alexey+Romeo,0.374,328,nikita (in=604); alexey romeo (in=878),2,"[0.33,0.40)",nikita & alexey romeo
,"Tom Deckman, Gideon Glick, Boys & Girls","https://www.last.fm/music/Tom+Deckman,+Gideon+Glick,+Boys+&+Girls",0.374,603,tom deckman (in=3); gideon glick (in=53); boys (in=260); girls (in=1611),4,"[0.33,0.40)","tom deckman, gideon glick, boys & girls"
,"Volt, Vintage","https://www.last.fm/music/Volt,+Vintage",0.375,168,volt (in=448); vintage (in=240),2,"[0.33,0.40)","volt, vintage"
,Emilia & NICKI NICOLE,https://www.last.fm/music/Emilia+&+NICKI+NICOLE,0.382,789,emilia (in=1818); nicki nicole (in=2064),2,"[0.33,0.40)",emilia & nicki nicole
,"sinalyx, Sxpl","https://www.last.fm/music/sinalyx,+Sxpl",0.386,468,sinalyx (in=1214); sxpl (in=237),2,"[0.33,0.40)","sinalyx, sxpl"
,shu-t feat. MEIKO,https://www.last.fm/music/shu-t+feat.+MEIKO,0.387,681,shu-t (in=1761); meiko (in=439),2,"[0.33,0.40)",shu-t feat. meiko
,Senmuth & Novocaine,https://www.last.fm/music/Senmuth+&+Novocaine,0.389,326,senmuth (in=599); novocaine (in=838),2,"[0.33,0.40)",senmuth & novocaine
,"Thomas Bergersen, Nick Phoenix, Two Steps From Hell","https://www.last.fm/music/Thomas+Bergersen,+Nick+Phoenix,+Two+Steps+From+Hell",0.393,648,thomas bergersen (in=1648); nick phoenix (in=507); two steps from hell (in=1498),3,"[0.33,0.40)","thomas bergersen, nick phoenix, two steps from hell"
,Meagan Taylor & Jason Coleman,https://www.last.fm/music/Meagan+Taylor+&+Jason+Coleman,0.400,2,meagan taylor (in=1); jason coleman (in=5),2,"[0.40,0.50)",meagan taylor & jason coleman
,BTS & JIN,https://www.last.fm/music/BTS+&+JIN,0.403,568,bts (in=1409); jin (in=1275),2,"[0.40,0.50)",bts & jin
,Patti Labelle & The Bluebelles,https://www.last.fm/music/Patti+Labelle+&+The+Bluebelles,0.405,705,patti labelle (in=1741); the bluebelles (in=68),2,"[0.40,0.50)",patti labelle & the bluebelles
,Sarah Brightman & Fernando Lima,https://www.last.fm/music/Sarah+Brightman+&+Fernando+Lima,0.405,388,sarah brightman (in=957); fernando lima (in=778),2,"[0.40,0.50)",sarah brightman & fernando lima
,Laura Nyro & Labelle,https://www.last.fm/music/Laura+Nyro+&+Labelle,0.406,378,laura nyro (in=860); labelle (in=930),2,"[0.40,0.50)",laura nyro & labelle
,"DJ Silva 07, DJ CN ZL, Mc Lobinho, Mc DDSV","https://www.last.fm/music/DJ+Silva+07,+DJ+CN+ZL,+Mc+Lobinho,+Mc+DDSV",0.408,454,dj silva 07 (in=1114); dj cn zl (in=342); mc lobinho (in=250); mc ddsv (in=731),4,"[0.40,0.50)","dj silva 07, dj cn zl, mc lobinho, mc ddsv"
,"L7nnon, DJ Biel do Furduncinho","https://www.last.fm/music/L7nnon,+DJ+Biel+do+Furduncinho",0.413,728,l7nnon (in=1763); dj biel do furduncinho (in=358),2,"[0.40,0.50)","l7nnon, dj biel do furduncinho"
,Shaolin Master feat. Siobhan,https://www.last.fm/music/Shaolin+Master+feat.+Siobhan,0.416,232,shaolin master (in=238); siobhan (in=558),2,"[0.40,0.50)",shaolin master feat. siobhan
,ØDYSSEE & B-Side,https://www.last.fm/music/%C3%98DYSSEE+&+B-Side,0.417,315,odyssee (in=755); b-side (in=478),2,"[0.40,0.50)",odyssee & b-side
,"Silk Sonic, Bruno Mars & Anderson .Paak","https://www.last.fm/music/Silk+Sonic,+Bruno+Mars+&+Anderson+.Paak",0.420,636,silk sonic (in=1103); bruno mars (in=1133); anderson .paak (in=1516),3,"[0.40,0.50)","silk sonic, bruno mars & anderson .paak"
,"JID, J. Cole","https://www.last.fm/music/JID,+J.+Cole",0.432,1155,jid (in=2671); j. cole (in=1912),2,"[0.40,0.50)","jid, j. cole"
,"Albrecht Mayer, Sinfonia Varsovia & Johann Sebastian Bach","https://www.last.fm/music/Albrecht+Mayer,+Sinfonia+Varsovia+&+Johann+Sebastian+Bach",0.433,436,albrecht mayer (in=524); sinfonia varsovia (in=676); johann sebastian bach (in=1006),3,"[0.40,0.50)","albrecht mayer, sinfonia varsovia & johann sebastian bach"
,Eventide feat. Robina,https://www.last.fm/music/Eventide+feat.+Robina,0.434,466,eventide (in=1073); robina (in=453),2,"[0.40,0.50)",eventide feat. robina
,Dunk & Yatuza,https://www.last.fm/music/Dunk+&+Yatuza,0.437,188,dunk (in=430); yatuza (in=108),2,"[0.40,0.50)",dunk & yatuza
,Joseph & Maia,https://www.last.fm/music/Joseph+&+Maia,0.443,949,joseph (in=267); maia (in=2141),2,"[0.40,0.50)",joseph & maia
,"Grioten, xlout","https://www.last.fm/music/Grioten,+xlout",0.443,98,grioten (in=206); xlout (in=221),2,"[0.40,0.50)","grioten, xlout"
,"YOVNGCHIMI, Pressure 9X19","https://www.last.fm/music/YOVNGCHIMI,+Pressure+9X19",0.445,305,yovngchimi (in=686); pressure 9x19 (in=591),2,"[0.40,0.50)","yovngchimi, pressure 9x19"
,Jorge Degas & Marcelo Salazar,https://www.last.fm/music/Jorge+Degas+&+Marcelo+Salazar,0.446,79,jorge degas (in=177); marcelo salazar (in=69),2,"[0.40,0.50)",jorge degas & marcelo salazar
,Haji & Emanuel feat. Erire,https://www.last.fm/music/Haji+&+Emanuel+feat.+Erire,0.452,187,haji (in=254); emanuel (in=414); erire (in=67),3,"[0.40,0.50)",haji & emanuel feat. erire
